Source,ZTF,Marshall class,Host,Declination,Magnitude,Spectrum,Light curve,Redshift,Additional notes
AT2020xys,ZTF19aaabvzh,Unknown,Synonymous with 2MASXJ06295685-2658313; r=16.02 mag galaxy,-26,r = 17.64. host r = 16,"Blue continuum. Strong, broad H emission lines (+ some others)",ZTF : https://lasair.roe.ac.uk/object/ZTF19aaabvzh/,z = 0.072,Classified as NT according to ZTF. Very bright galaxy in images. 
AT2020ykb,ZTF20acocohy,SNII,,,,,,,
AT2020yxf,ZTF20acohkja,Other,,,,,,,
AT2020yzo,,SNII,,,,,,,
AT2020znl,ZTF20acpvbbh,SNII,,,,,,,
AT2021aek,ZTF21aaeoqxf,SNII,,,,,,,
AT2021agv,ZTF21aaedpyk,CV,,,,,,,
AT2021arg,ZTF21aaevrjl,SNII,,,,,,,
AT2021blz,,TDE,,,,,,,
AT2021bmc,ZTF21aaglrzc,Other,Possibly associated with SDSS J082859.71+122509,12,host : r = 20.5,"Blue continuum. Spectrum from both PESSTO (high resolution, weak or no features) and ZTF (weak or no features)",Long-scale variations. ZTF : https://lasair.roe.ac.uk/object/ZTF21aaglrzc/,Unknown,Weak extended object?
AT2021bnw,ZTF21aagpymw,SLSN-I,,,,,,,
AT2021bpd,ZTF21aagogqj,CV,,,,,,,
AT2021cdv,ZTF21aaiaeri,SNII,,,,,,,
AT2021cgu,ZTF21aaipypa,SNII,,,,,,,
AT2021cpi,ZTF21aajvukh,SNII,,,,,,,
AT2021dib,ZTF21aalhgqi,SNI,,,,,,,
AT2021ecf,,Not classified,Possibly associated with 05474900+0723589; J=16.38 mag galaxy,7.4,host : o = 19.03,No data,No ZTF,unknown,I cannot see that anyone has attempted to classify this one. Very little information available. Observed but outside the slit 
AT2021ek,,SLSN-I,,,,,,,
AT2021ft,,Unknown,Possibly associated with CGCG483-058; r=14.18 mag galaxy,26,,,,,Discussed over Zoom. Good target.
AT2021fw,ZTF21aaphlty,CV,,,,,,,
AT2021fzp,ZTF21aapjmgf,SNII,,,,,,,
At2021gfo,ZTF21aaosgqa,SNI,,,,,,,
AT2021gvm,ZTF21aaqjmps,SNII,,,,,,,
AT2021hgd,,CV,,,,,,,
AT2021jae,,CV,,,,,,,
AT2021nx,ZTF21aabavaz,SNII,,,,,,,
AT2021ok,ZTF21aabjfbc,SNII,,,,,,,
ATLAS20beli,ZTF20acmmfau,Unknown,Possibly associated with ESO473-G003; J=13.35 mag galaxy,-25,"peak : -17.88 , host : o = 19.22",No data,ZTF : https://lasair.roe.ac.uk/object/ZTF20acmmfau/,z = 0.0563,May be a SN (according to ZTF). Located near a spiral arm.
ATLAS21gfy,,SNII,,,,,,,https://ui.adsabs.harvard.edu/abs/2021TNSAN..67....1S/abstract
SN2019npx,ZTF19abpvbzf,SLSN-II,,,,,,,
ZTF19aailptb,ZTF19aailptb,SNIIn,,,,,,,
ZTF19aajwogx,ZTF19aajwogx,SNII,,,,,,,
ZTF19abiagjr,ZTF19abiagjr,AGN,,,,,,,AT2019mzt
